Ten-Year Age Groups	Ten-Year Age Groups Code	Month	Month Code	Deaths
5-14 years	14-May	Oct., 2019	2019/10	4
5-14 years	14-May	Nov., 2019	2019/11	2
5-14 years	14-May	Dec., 2019	2019/12	3
5-14 years	14-May	Jan., 2020 (provisional)	2020/01	3
5-14 years	14-May	Feb., 2020 (provisional)	2020/02	5
5-14 years	14-May	Mar., 2020 (provisional)	2020/03	3
5-14 years	14-May	Apr., 2020 (provisional)	2020/04	5
5-14 years	14-May	May, 2020 (provisional)	2020/05	6
5-14 years	14-May	Jun., 2020 (provisional)	2020/06	7
5-14 years	14-May	Jul., 2020 (provisional)	2020/07	2
5-14 years	14-May	Aug., 2020 (provisional)	2020/08	9
5-14 years	14-May	Sep., 2020 (provisional)	2020/09	9
5-14 years	14-May	Oct., 2020 (provisional)	2020/10	7
5-14 years	14-May	Nov., 2020 (provisional)	2020/11	7
5-14 years	14-May	Dec., 2020 (provisional)	2020/12	2
5-14 years	14-May	Jan., 2021 (provisional)	2021/01	6
5-14 years	14-May	Feb., 2021 (provisional)	2021/02	5
5-14 years	14-May	Mar., 2021 (provisional)	2021/03	8
5-14 years	14-May	Apr., 2021 (provisional)	2021/04	4
5-14 years	14-May	May, 2021 (provisional)	2021/05	9
5-14 years	14-May	Jun., 2021 (provisional)	2021/06	5
5-14 years	14-May	Jul., 2021 (provisional)	2021/07	3
5-14 years	14-May	Aug., 2021 (provisional)	2021/08	10
5-14 years	14-May	Sep., 2021 (provisional)	2021/09	2
5-14 years	14-May	Oct., 2021 (provisional)	2021/10	0
5-14 years	14-May	Nov., 2021 (provisional and partial)	2021/11	0
15-24 years	15-24	Jan., 2018	2018/01	334
15-24 years	15-24	Feb., 2018	2018/02	295
15-24 years	15-24	Mar., 2018	2018/03	344
15-24 years	15-24	Apr., 2018	2018/04	337
15-24 years	15-24	May, 2018	2018/05	325
15-24 years	15-24	Jun., 2018	2018/06	326
15-24 years	15-24	Jul., 2018	2018/07	328
15-24 years	15-24	Aug., 2018	2018/08	343
15-24 years	15-24	Sep., 2018	2018/09	331
15-24 years	15-24	Oct., 2018	2018/10	360
15-24 years	15-24	Nov., 2018	2018/11	254
15-24 years	15-24	Dec., 2018	2018/12	303
15-24 years	15-24	Jan., 2019	2019/01	286
15-24 years	15-24	Feb., 2019	2019/02	271
15-24 years	15-24	Mar., 2019	2019/03	339
15-24 years	15-24	Apr., 2019	2019/04	282
15-24 years	15-24	May, 2019	2019/05	316
15-24 years	15-24	Jun., 2019	2019/06	306
15-24 years	15-24	Jul., 2019	2019/07	353
15-24 years	15-24	Aug., 2019	2019/08	355
15-24 years	15-24	Sep., 2019	2019/09	335
15-24 years	15-24	Oct., 2019	2019/10	394
15-24 years	15-24	Nov., 2019	2019/11	374
15-24 years	15-24	Dec., 2019	2019/12	385
15-24 years	15-24	Jan., 2020 (provisional)	2020/01	389
15-24 years	15-24	Feb., 2020 (provisional)	2020/02	378
15-24 years	15-24	Mar., 2020 (provisional)	2020/03	483
15-24 years	15-24	Apr., 2020 (provisional)	2020/04	571
15-24 years	15-24	May, 2020 (provisional)	2020/05	629
15-24 years	15-24	Jun., 2020 (provisional)	2020/06	580
15-24 years	15-24	Jul., 2020 (provisional)	2020/07	601
15-24 years	15-24	Aug., 2020 (provisional)	2020/08	583
15-24 years	15-24	Sep., 2020 (provisional)	2020/09	515
15-24 years	15-24	Oct., 2020 (provisional)	2020/10	533
15-24 years	15-24	Nov., 2020 (provisional)	2020/11	485
15-24 years	15-24	Dec., 2020 (provisional)	2020/12	558
15-24 years	15-24	Jan., 2021 (provisional)	2021/01	573
15-24 years	15-24	Feb., 2021 (provisional)	2021/02	490
15-24 years	15-24	Mar., 2021 (provisional)	2021/03	627
15-24 years	15-24	Apr., 2021 (provisional)	2021/04	602
15-24 years	15-24	May, 2021 (provisional)	2021/05	587
15-24 years	15-24	Jun., 2021 (provisional)	2021/06	509
15-24 years	15-24	Jul., 2021 (provisional)	2021/07	490
15-24 years	15-24	Aug., 2021 (provisional)	2021/08	409
15-24 years	15-24	Sep., 2021 (provisional)	2021/09	223
15-24 years	15-24	Oct., 2021 (provisional)	2021/10	84
15-24 years	15-24	Nov., 2021 (provisional and partial)	2021/11	9
25-34 years	25-34	Jan., 2018	2018/01	1140
25-34 years	25-34	Feb., 2018	2018/02	1090
25-34 years	25-34	Mar., 2018	2018/03	1226
25-34 years	25-34	Apr., 2018	2018/04	1168
25-34 years	25-34	May, 2018	2018/05	1184
25-34 years	25-34	Jun., 2018	2018/06	1167
25-34 years	25-34	Jul., 2018	2018/07	1191
25-34 years	25-34	Aug., 2018	2018/08	1126
25-34 years	25-34	Sep., 2018	2018/09	1122
25-34 years	25-34	Oct., 2018	2018/10	1103
25-34 years	25-34	Nov., 2018	2018/11	1098
25-34 years	25-34	Dec., 2018	2018/12	1089
25-34 years	25-34	Jan., 2019	2019/01	1053
25-34 years	25-34	Feb., 2019	2019/02	1025
25-34 years	25-34	Mar., 2019	2019/03	1237
25-34 years	25-34	Apr., 2019	2019/04	1092
25-34 years	25-34	May, 2019	2019/05	1124
25-34 years	25-34	Jun., 2019	2019/06	1153
25-34 years	25-34	Jul., 2019	2019/07	1246
25-34 years	25-34	Aug., 2019	2019/08	1256
25-34 years	25-34	Sep., 2019	2019/09	1194
25-34 years	25-34	Oct., 2019	2019/10	1263
25-34 years	25-34	Nov., 2019	2019/11	1255
25-34 years	25-34	Dec., 2019	2019/12	1299
25-34 years	25-34	Jan., 2020 (provisional)	2020/01	1275
25-34 years	25-34	Feb., 2020 (provisional)	2020/02	1289
25-34 years	25-34	Mar., 2020 (provisional)	2020/03	1516
25-34 years	25-34	Apr., 2020 (provisional)	2020/04	1812
25-34 years	25-34	May, 2020 (provisional)	2020/05	2085
25-34 years	25-34	Jun., 2020 (provisional)	2020/06	1764
25-34 years	25-34	Jul., 2020 (provisional)	2020/07	1737
25-34 years	25-34	Aug., 2020 (provisional)	2020/08	1747
25-34 years	25-34	Sep., 2020 (provisional)	2020/09	1552
25-34 years	25-34	Oct., 2020 (provisional)	2020/10	1480
25-34 years	25-34	Nov., 2020 (provisional)	2020/11	1529
25-34 years	25-34	Dec., 2020 (provisional)	2020/12	1580
25-34 years	25-34	Jan., 2021 (provisional)	2021/01	1797
25-34 years	25-34	Feb., 2021 (provisional)	2021/02	1536
25-34 years	25-34	Mar., 2021 (provisional)	2021/03	1820
25-34 years	25-34	Apr., 2021 (provisional)	2021/04	1740
25-34 years	25-34	May, 2021 (provisional)	2021/05	1702
25-34 years	25-34	Jun., 2021 (provisional)	2021/06	1575
25-34 years	25-34	Jul., 2021 (provisional)	2021/07	1539
25-34 years	25-34	Aug., 2021 (provisional)	2021/08	1300
25-34 years	25-34	Sep., 2021 (provisional)	2021/09	808
25-34 years	25-34	Oct., 2021 (provisional)	2021/10	269
25-34 years	25-34	Nov., 2021 (provisional and partial)	2021/11	38
35-44 years	35-44	Jan., 2018	2018/01	1009
35-44 years	35-44	Feb., 2018	2018/02	994
35-44 years	35-44	Mar., 2018	2018/03	1081
35-44 years	35-44	Apr., 2018	2018/04	1010
35-44 years	35-44	May, 2018	2018/05	1048
35-44 years	35-44	Jun., 2018	2018/06	1080
35-44 years	35-44	Jul., 2018	2018/07	1083
35-44 years	35-44	Aug., 2018	2018/08	1102
35-44 years	35-44	Sep., 2018	2018/09	1030
35-44 years	35-44	Oct., 2018	2018/10	1072
35-44 years	35-44	Nov., 2018	2018/11	992
35-44 years	35-44	Dec., 2018	2018/12	1058
35-44 years	35-44	Jan., 2019	2019/01	1038
35-44 years	35-44	Feb., 2019	2019/02	941
35-44 years	35-44	Mar., 2019	2019/03	1153
35-44 years	35-44	Apr., 2019	2019/04	1051
35-44 years	35-44	May, 2019	2019/05	1148
35-44 years	35-44	Jun., 2019	2019/06	1126
35-44 years	35-44	Jul., 2019	2019/07	1112
35-44 years	35-44	Aug., 2019	2019/08	1179
35-44 years	35-44	Sep., 2019	2019/09	1152
35-44 years	35-44	Oct., 2019	2019/10	1210
35-44 years	35-44	Nov., 2019	2019/11	1230
35-44 years	35-44	Dec., 2019	2019/12	1261
35-44 years	35-44	Jan., 2020 (provisional)	2020/01	1326
35-44 years	35-44	Feb., 2020 (provisional)	2020/02	1235
35-44 years	35-44	Mar., 2020 (provisional)	2020/03	1466
35-44 years	35-44	Apr., 2020 (provisional)	2020/04	1632
35-44 years	35-44	May, 2020 (provisional)	2020/05	2028
35-44 years	35-44	Jun., 2020 (provisional)	2020/06	1689
35-44 years	35-44	Jul., 2020 (provisional)	2020/07	1720
35-44 years	35-44	Aug., 2020 (provisional)	2020/08	1667
35-44 years	35-44	Sep., 2020 (provisional)	2020/09	1575
35-44 years	35-44	Oct., 2020 (provisional)	2020/10	1535
35-44 years	35-44	Nov., 2020 (provisional)	2020/11	1582
35-44 years	35-44	Dec., 2020 (provisional)	2020/12	1602
35-44 years	35-44	Jan., 2021 (provisional)	2021/01	1714
35-44 years	35-44	Feb., 2021 (provisional)	2021/02	1558
35-44 years	35-44	Mar., 2021 (provisional)	2021/03	1870
35-44 years	35-44	Apr., 2021 (provisional)	2021/04	1879
35-44 years	35-44	May, 2021 (provisional)	2021/05	1803
35-44 years	35-44	Jun., 2021 (provisional)	2021/06	1703
35-44 years	35-44	Jul., 2021 (provisional)	2021/07	1698
35-44 years	35-44	Aug., 2021 (provisional)	2021/08	1372
35-44 years	35-44	Sep., 2021 (provisional)	2021/09	833
35-44 years	35-44	Oct., 2021 (provisional)	2021/10	299
35-44 years	35-44	Nov., 2021 (provisional and partial)	2021/11	42
45-54 years	45-54	Jan., 2018	2018/01	965
45-54 years	45-54	Feb., 2018	2018/02	876
45-54 years	45-54	Mar., 2018	2018/03	1009
45-54 years	45-54	Apr., 2018	2018/04	922
45-54 years	45-54	May, 2018	2018/05	1021
45-54 years	45-54	Jun., 2018	2018/06	953
45-54 years	45-54	Jul., 2018	2018/07	927
45-54 years	45-54	Aug., 2018	2018/08	975
45-54 years	45-54	Sep., 2018	2018/09	898
45-54 years	45-54	Oct., 2018	2018/10	906
45-54 years	45-54	Nov., 2018	2018/11	855
45-54 years	45-54	Dec., 2018	2018/12	908
45-54 years	45-54	Jan., 2019	2019/01	967
45-54 years	45-54	Feb., 2019	2019/02	899
45-54 years	45-54	Mar., 2019	2019/03	939
45-54 years	45-54	Apr., 2019	2019/04	884
45-54 years	45-54	May, 2019	2019/05	947
45-54 years	45-54	Jun., 2019	2019/06	943
45-54 years	45-54	Jul., 2019	2019/07	1028
45-54 years	45-54	Aug., 2019	2019/08	998
45-54 years	45-54	Sep., 2019	2019/09	932
45-54 years	45-54	Oct., 2019	2019/10	1038
45-54 years	45-54	Nov., 2019	2019/11	1043
45-54 years	45-54	Dec., 2019	2019/12	1018
45-54 years	45-54	Jan., 2020 (provisional)	2020/01	1074
45-54 years	45-54	Feb., 2020 (provisional)	2020/02	1102
45-54 years	45-54	Mar., 2020 (provisional)	2020/03	1164
45-54 years	45-54	Apr., 2020 (provisional)	2020/04	1210
45-54 years	45-54	May, 2020 (provisional)	2020/05	1617
